"","SampleID","Tree_log","Tree_host","Protocol","Year_since_decay_start","DNA_yields","input","filtered","denoisedF","denoisedR","merged","nonchim","nonbacterial_filtered","decontam","quality_filtered","ASV_number"
"1","C01","birch_01","paper_birch","CTAB",0,2.146875,38164,31923,31869,31873,31729,30979,5997,5997,5942,102
"2","C02","birch_02","paper_birch","CTAB",0,3.72611465,31983,26655,26635,26638,26535,25709,126,126,110,76
"3","C03","birch_03","paper_birch","CTAB",0,6.867088608,34101,29033,29007,28997,28843,27597,310,310,243,86
"4","C04","birch_04","paper_birch","CTAB",0,2.472312704,41194,32908,32899,32905,32808,31923,95,95,NA,NA
"5","C05","birch_05","paper_birch","CTAB",0,4.920634921,46680,39311,39286,39285,39092,37392,949,948,875,116
"6","C06","birch_06","paper_birch","CTAB",0,2.740983607,38108,32577,32563,32566,32440,31240,59,58,NA,NA
"7","C07","birch_07","paper_birch","CTAB",0,3.993610224,42723,36485,36474,36480,36402,35417,141,141,125,52
"8","C08","birch_08","paper_birch","CTAB",0,1.304635762,41036,34147,34142,34133,34076,33634,546,546,527,27
"9","C11","birch_01","paper_birch","CTAB",1,6.699669967,47067,41657,41552,41582,41170,32831,32065,32065,31881,659
"10","C12","birch_02","paper_birch","CTAB",1,3.6,34452,30699,30645,30628,30377,20115,19638,19638,19475,580
"11","C13","birch_03","paper_birch","CTAB",1,8.548387097,38717,34339,34148,34186,33666,22504,21821,21820,21534,690
"12","C14","birch_04","paper_birch","CTAB",1,7.091503268,31399,27665,27576,27578,27305,17600,14667,14667,14594,616
"13","C15","birch_05","paper_birch","CTAB",1,8.284789644,35882,31850,31738,31736,31151,29655,28767,28767,28656,604
"14","C16","birch_06","paper_birch","CTAB",1,5.113268608,39046,34926,34822,34828,34424,26594,25633,25633,25363,643
"15","C17","birch_07","paper_birch","CTAB",1,8.993288591,50186,44590,44332,44363,43510,33324,33160,33160,32659,862
"16","C18","birch_08","paper_birch","CTAB",1,5.064516129,48196,42696,42556,42543,41908,31391,31123,31123,30810,716
"17","C21","birch_01","paper_birch","CTAB",7,7.286432161,50258,43963,43367,43436,42439,41716,41598,41598,39134,1878
"18","C22","birch_02","paper_birch","CTAB",7,7.969924812,39352,33390,32731,32770,31819,30979,30847,30846,28162,2363
