"","SampleID","Tree_log","Tree_host","Protocol","Year_since_decay_start","DNA_yields","input","filtered","denoisedF","denoisedR","merged","nonchim","nonfungal_filtered","decontam","quality_filtered","ASV_number"
"1","C01","birch_01","paper_birch","CTAB",0,2.146875,77907,44027,44015,44008,5208,5170,1072,1072,1072,21
"2","C02","birch_02","paper_birch","CTAB",0,3.72611465,60300,34340,34321,34308,3978,3950,457,457,425,18
"3","C03","birch_03","paper_birch","CTAB",0,6.867088608,43007,22969,22918,22938,2283,2264,368,368,367,44
"4","C04","birch_04","paper_birch","CTAB",0,2.472312704,45111,24820,24790,24804,2390,2383,77,77,NA,NA
"5","C05","birch_05","paper_birch","CTAB",0,4.920634921,59167,35242,35219,35223,5706,5621,505,505,495,34
"6","C06","birch_06","paper_birch","CTAB",0,2.740983607,47257,26465,26439,26448,3800,3789,356,356,356,20
"7","C07","birch_07","paper_birch","CTAB",0,3.993610224,58529,34107,34084,34086,4781,4771,237,237,225,24
"8","C08","birch_08","paper_birch","CTAB",0,1.304635762,62998,35380,35372,35369,5243,5227,201,201,200,11
"9","C11","birch_01","paper_birch","CTAB",1,6.699669967,42783,30004,29866,29930,27642,26170,26042,26042,26022,165
"10","C12","birch_02","paper_birch","CTAB",1,3.6,48570,31443,31350,31352,28918,28208,28171,27923,27865,196
"11","C13","birch_03","paper_birch","CTAB",1,8.548387097,44588,30698,30582,30516,24958,22296,22237,22208,22180,171
"12","C14","birch_04","paper_birch","CTAB",1,7.091503268,38618,25817,25717,25751,21218,20075,19337,19315,19299,124
"13","C15","birch_05","paper_birch","CTAB",1,8.284789644,49688,34504,34465,34457,32837,32624,32594,31596,31568,128
"14","C16","birch_06","paper_birch","CTAB",1,5.113268608,40189,28105,27981,27996,23305,21388,21348,20084,20045,160
"15","C17","birch_07","paper_birch","CTAB",1,8.993288591,51836,36550,36398,36438,29240,27730,27667,27449,27409,219
"16","C18","birch_08","paper_birch","CTAB",1,5.064516129,50124,35389,35227,35291,29209,27362,27292,27291,27235,195
"17","C21","birch_01","paper_birch","CTAB",7,7.286432161,50155,32116,31974,31940,28223,27405,22801,22801,22749,132
"18","C22","birch_02","paper_birch","CTAB",7,7.969924812,53601,38415,38218,38225,35789,34332,30965,30469,30411,181
"19","C23","birch_03","paper_birch","CTAB",7,8.42364532,50424,35039,34895,34899,31911,29470,27219,27219,27171,154
"20","C24","birch_04","paper_birch","CTAB",7,6.891566265,51269,33060,32924,32827,29964,29066,26314,26314,26206,175
"21","C25","birch_05","paper_birch","CTAB",7,16.34615385,74423,52479,52332,52340,42409,40789,34288,34288,34244,130
"22","C26","birch_06","paper_birch","CTAB",7,6.71641791,54248,36142,35995,36025,33409,32557,31057,30245,30146,192
"23","C27","birch_07","paper_birch","CTAB",7,6.713615023,84,18,12,12,10,10,9,9,NA,NA
"24","C28","birch_08","paper_birch","CTAB",7,11.01176471,51447,34945,34735,34828,32413,31595,29063,29054,29007,147
"25","C33","pine_03","red_pine","CTAB",0,6.35725429,52380,34649,34442,34463,26885,26672,10832,10832,10832,88
"26","C34","pine_04","red_pine","CTAB",0,4.012588513,54444,34923,34729,34726,25709,25311,4057,4057,4054,38
"27","C35","pine_05","red_pine","CTAB",0,2.461033634,47722,30519,30329,30242,24154,23936,6854,6854,6850,31
"28","C36","pine_06","red_pine","CTAB",0,1.957060281,54913,27347,27238,27255,21931,21305,20737,20737,20694,150
"29","C37","pine_07","red_pine","CTAB",0,2.796803653,56811,35856,35683,35767,29273,27331,27235,27235,27183,133
"30","C38","pine_08","red_pine","CTAB",0,1.061912226,49437,32503,32324,32375,22023,21786,4280,4280,4280,12
"31","C39","pine_09","red_pine","CTAB",0,5.576776165,71892,45008,44662,44677,36295,35788,2706,2706,2706,28
"32","C40","pine_10","red_pine","CTAB",0,0.625479662,22815,14266,14177,14092,11734,11608,2830,2830,2830,21
"33","C43","pine_03","red_pine","CTAB",1,3.88671875,54177,38075,37966,37968,30365,29083,27644,27644,27616,230
"34","C44","pine_04","red_pine","CTAB",1,7.478465153,49614,33596,33416,33520,29555,28381,26896,26896,26812,312
"35","C45","pine_05","red_pine","CTAB",1,5.95599393,40675,29493,29185,29291,26056,24925,24352,24352,24065,439
"36","C46","pine_06","red_pine","CTAB",1,4.245283019,39284,26860,26691,26712,21844,21173,20236,20236,20118,329
"37","C47","pine_07","red_pine","CTAB",1,3.064903846,47492,31923,31728,31822,25971,24035,23381,23381,23256,321
"38","C48","pine_08","red_pine","CTAB",1,8.180428135,32480,21076,20993,21000,18925,17299,17119,17119,17026,302
"39","C49","pine_09","red_pine","CTAB",1,8.123476848,58046,38997,38804,38906,34823,30575,29921,29921,29892,196
"40","C50","pine_10","red_pine","CTAB",1,4.968454259,83529,54356,54167,54213,46400,43905,43344,43344,43297,255
"41","C53","pine_03","red_pine","CTAB",7,5.512721665,43967,28163,28011,28016,26333,25074,24281,24281,24200,274
"42","C54","pine_04","red_pine","CTAB",7,4.99207607,54172,35581,35360,35437,28826,27474,25319,25319,25254,272
"43","C55","pine_05","red_pine","CTAB",7,4.072580645,52085,35693,35562,35523,27784,26856,23206,23206,23085,280
"44","C56","pine_06","red_pine","CTAB",7,5.207485761,59834,35221,35097,35129,28556,27232,25564,25564,25443,303
"45","C57","pine_07","red_pine","CTAB",7,5.611847233,51280,37117,37011,36945,23851,22795,21051,21049,20948,287
"46","C58","pine_08","red_pine","CTAB",7,2.155172414,50778,33409,33255,33356,26791,26574,24723,24723,24687,182
"47","C59","pine_09","red_pine","CTAB",7,1.133333333,74904,48765,48551,48608,40793,40256,37310,37310,37107,330
"48","C60","pine_10","red_pine","CTAB",7,2.583465819,56071,38975,38899,38889,20616,20366,19677,19677,19629,233
"49","Q01","birch_01","paper_birch","QIAGEN",0,1.649659864,51738,28224,28181,28185,3573,3550,213,213,213,25
"50","Q02","birch_02","paper_birch","QIAGEN",0,2.101010101,73104,42865,42770,42757,7994,7910,2182,2182,2161,77
"51","Q03","birch_03","paper_birch","QIAGEN",0,2.850993377,60716,34170,34062,34102,4698,4610,976,976,966,47
"52","Q04","birch_04","paper_birch","QIAGEN",0,2.533557047,63748,35656,35578,35613,4932,4882,640,640,640,21
"53","Q05","birch_05","paper_birch","QIAGEN",0,2.349834983,58175,35155,35120,35124,7103,7080,279,279,265,22
"54","Q06","birch_06","paper_birch","QIAGEN",0,2.565789474,55102,31670,31635,31619,6168,6104,809,809,792,36
"55","Q07","birch_07","paper_birch","QIAGEN",0,2.554098361,69074,40386,40321,40341,7872,7754,950,950,936,36
"56","Q08","birch_08","paper_birch","QIAGEN",0,1.493506494,48556,33166,33067,33118,23268,20451,18913,18913,18886,117
"57","Q11","birch_01","paper_birch","QIAGEN",1,2.588039867,47146,32094,31886,31995,29581,27321,27142,27142,27126,177
"58","Q12","birch_02","paper_birch","QIAGEN",1,1.275409836,39184,25042,24913,24941,22158,20831,20783,20737,20712,181
"59","Q13","birch_03","paper_birch","QIAGEN",1,3.121311475,35668,25447,25352,25352,21058,18081,18054,18049,18032,146
"60","Q14","birch_04","paper_birch","QIAGEN",1,2.198717949,36009,23599,23488,23534,20104,18463,17498,17485,17471,117
"61","Q15","birch_05","paper_birch","QIAGEN",1,4.234527687,30410,21373,21133,21296,18216,15915,15838,15810,15793,133
