"","SampleID","mix","Relative_abundance","Sample_name","Protocol","Site","Tree_host","Tree_log","Year","Year_since_decay_start","When","DNA_yields","Sample_or_Control","is.neg"
"1","C01","Aequabiliella (A)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"2","C01","Pyrenopeziza (A)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"3","C01","Chalara (A)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"4","C01","Therrya (A)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"5","C01","Trichoderma (A)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"6","C01","Podospora (A)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"7","C01","other Ascomycota",0.685634328358209,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"8","C01","Basidiobolomycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"9","C01","Mycena (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"10","C01","Xenasmatella (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"11","C01","Athelia (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"12","C01","Stypella (B)",0.00186567164179104,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"13","C01","Ceratobasidium (B)",0.000932835820895522,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"14","C01","Sistotrema (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"15","C01","Trichaptum (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"16","C01","Lenzites (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"17","C01","Trametes (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"18","C01","Serendipita (B)",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"19","C01","other Basidiomycota",0.311567164179104,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"20","C01","Chytridiomycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"21","C01","Fungi_phy_Incertae_sedis",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"22","C01","Glomeromycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"23","C01","Mortierellomycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"24","C01","Mucoromycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"25","C01","Olpidiomycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"26","C01","Rozellomycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"27","C01","Zoopagomycota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"28","C01","Unknown",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"29","C02","Aequabiliella (A)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"30","C02","Pyrenopeziza (A)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"31","C02","Chalara (A)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"32","C02","Therrya (A)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"33","C02","Trichoderma (A)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"34","C02","Podospora (A)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"35","C02","other Ascomycota",0.425882352941176,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"36","C02","Basidiobolomycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"37","C02","Mycena (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"38","C02","Xenasmatella (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"39","C02","Athelia (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"40","C02","Stypella (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"41","C02","Ceratobasidium (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"42","C02","Sistotrema (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"43","C02","Trichaptum (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"44","C02","Lenzites (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"45","C02","Trametes (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"46","C02","Serendipita (B)",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"47","C02","other Basidiomycota",0.574117647058824,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"48","C02","Chytridiomycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"49","C02","Fungi_phy_Incertae_sedis",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"50","C02","Glomeromycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"51","C02","Mortierellomycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"52","C02","Mucoromycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"53","C02","Olpidiomycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"54","C02","Rozellomycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"55","C02","Zoopagomycota",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"56","C02","Unknown",0,"2010_BA2","CTAB","Ground_bark","paper_birch","birch_02",2010,0,"decay_start",3.72611465,"Sample",FALSE
"57","C03","Aequabiliella (A)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"58","C03","Pyrenopeziza (A)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"59","C03","Chalara (A)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"60","C03","Therrya (A)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"61","C03","Trichoderma (A)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"62","C03","Podospora (A)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"63","C03","other Ascomycota",0.975476839237057,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"64","C03","Basidiobolomycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"65","C03","Mycena (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"66","C03","Xenasmatella (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"67","C03","Athelia (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"68","C03","Stypella (B)",0.00272479564032698,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"69","C03","Ceratobasidium (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"70","C03","Sistotrema (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"71","C03","Trichaptum (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"72","C03","Lenzites (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"73","C03","Trametes (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"74","C03","Serendipita (B)",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"75","C03","other Basidiomycota",0.0217983651226158,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"76","C03","Chytridiomycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"77","C03","Fungi_phy_Incertae_sedis",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"78","C03","Glomeromycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"79","C03","Mortierellomycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"80","C03","Mucoromycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"81","C03","Olpidiomycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"82","C03","Rozellomycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"83","C03","Zoopagomycota",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"84","C03","Unknown",0,"2010_BA3","CTAB","Ground_bark","paper_birch","birch_03",2010,0,"decay_start",6.867088608,"Sample",FALSE
"85","C05","Aequabiliella (A)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"86","C05","Pyrenopeziza (A)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"87","C05","Chalara (A)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"88","C05","Therrya (A)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"89","C05","Trichoderma (A)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"90","C05","Podospora (A)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"91","C05","other Ascomycota",0.923232323232323,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"92","C05","Basidiobolomycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"93","C05","Mycena (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"94","C05","Xenasmatella (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"95","C05","Athelia (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"96","C05","Stypella (B)",0.00202020202020202,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"97","C05","Ceratobasidium (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"98","C05","Sistotrema (B)",0.0323232323232323,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"99","C05","Trichaptum (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"100","C05","Lenzites (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"101","C05","Trametes (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"102","C05","Serendipita (B)",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"103","C05","other Basidiomycota",0.00202020202020202,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"104","C05","Chytridiomycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"105","C05","Fungi_phy_Incertae_sedis",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"106","C05","Glomeromycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"107","C05","Mortierellomycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"108","C05","Mucoromycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"109","C05","Olpidiomycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"110","C05","Rozellomycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"111","C05","Zoopagomycota",0,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"112","C05","Unknown",0.0404040404040404,"2010_BA5","CTAB","Ground_bark","paper_birch","birch_05",2010,0,"decay_start",4.920634921,"Sample",FALSE
"113","C06","Aequabiliella (A)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"114","C06","Pyrenopeziza (A)",0.00280898876404494,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"115","C06","Chalara (A)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"116","C06","Therrya (A)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"117","C06","Trichoderma (A)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"118","C06","Podospora (A)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"119","C06","other Ascomycota",0.977528089887641,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"120","C06","Basidiobolomycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"121","C06","Mycena (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"122","C06","Xenasmatella (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"123","C06","Athelia (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"124","C06","Stypella (B)",0.00280898876404494,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"125","C06","Ceratobasidium (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"126","C06","Sistotrema (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"127","C06","Trichaptum (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"128","C06","Lenzites (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"129","C06","Trametes (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"130","C06","Serendipita (B)",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"131","C06","other Basidiomycota",0.0168539325842697,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"132","C06","Chytridiomycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"133","C06","Fungi_phy_Incertae_sedis",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"134","C06","Glomeromycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"135","C06","Mortierellomycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"136","C06","Mucoromycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"137","C06","Olpidiomycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"138","C06","Rozellomycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"139","C06","Zoopagomycota",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"140","C06","Unknown",0,"2010_BA6","CTAB","Ground_bark","paper_birch","birch_06",2010,0,"decay_start",2.740983607,"Sample",FALSE
"141","C07","Aequabiliella (A)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"142","C07","Pyrenopeziza (A)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"143","C07","Chalara (A)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"144","C07","Therrya (A)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"145","C07","Trichoderma (A)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"146","C07","Podospora (A)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"147","C07","other Ascomycota",0.813333333333333,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"148","C07","Basidiobolomycota",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"149","C07","Mycena (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"150","C07","Xenasmatella (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"151","C07","Athelia (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"152","C07","Stypella (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"153","C07","Ceratobasidium (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"154","C07","Sistotrema (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"155","C07","Trichaptum (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"156","C07","Lenzites (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"157","C07","Trametes (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"158","C07","Serendipita (B)",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"159","C07","other Basidiomycota",0.0977777777777778,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"160","C07","Chytridiomycota",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"161","C07","Fungi_phy_Incertae_sedis",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"162","C07","Glomeromycota",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"163","C07","Mortierellomycota",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"164","C07","Mucoromycota",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"165","C07","Olpidiomycota",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"166","C07","Rozellomycota",0.00444444444444444,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"167","C07","Zoopagomycota",0,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
