"","SampleID","mix","Relative_abundance","Sample_name","Protocol","Site","Tree_host","Tree_log","Year","Year_since_decay_start","When","DNA_yields","Sample_or_Control","is.neg"
"1","C01","1174-901-12",0.0010097610232245,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"2","C01","Acidobacteriota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"3","C01","Actinobacteriota",0.225849882194547,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"4","C01","Armatimonadota",0.001346348030966,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"5","C01","Bacteroidota",0.00420733759676876,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"6","C01","Burkholderia-Caballeronia-Paraburkholderia",0.000336587007741501,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"7","C01","Cellulomonas",0.558734432850892,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"8","C01","Chitinophaga",0.00235610905419051,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"9","C01","Conexibacter",0.000168293503870751,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"10","C01","Endobacter",0.0117805452709525,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"11","C01","Firmicutes",0.058061258835409,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"12","C01","Granulicella",0.000336587007741501,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"13","C01","Luteibacter",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"14","C01","Mucilaginibacter",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"15","C01","Myxococcota",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"16","C01","Patescibacteria",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"17","C01","Pedobacter",0,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
"18","C01","Planctomycetota",0.000168293503870751,"2010_BA1","CTAB","Ground_bark","paper_birch","birch_01",2010,0,"decay_start",2.146875,"Sample",FALSE
