Sample.ID,Sample_name,Protocol,Site,Tree_host,Tree_log,Year,Year_since_decay_start,When,DNA_yields,Absorbance_ratio,
C01,2010_BA1,CTAB,Ground_bark,paper_birch,birch_1,2010,0,decay_start,2.146875,1.76,
C02,2010_BA2,CTAB,Ground_bark,paper_birch,birch_2,2010,0,decay_start,3.72611465,1.91,
C03,2010_BA3,CTAB,Ground_bark,paper_birch,birch_3,2010,0,decay_start,6.867088608,1.93,
C04,2010_BA4,CTAB,Ground_bark,paper_birch,birch_4,2010,0,decay_start,2.472312704,1.8,
C05,2010_BA5,CTAB,Ground_bark,paper_birch,birch_5,2010,0,decay_start,4.920634921,1.85,
C06,2010_BA6,CTAB,Ground_bark,paper_birch,birch_6,2010,0,decay_start,2.740983607,1.84,
C07,2010_BA7,CTAB,Ground_bark,paper_birch,birch_7,2010,0,decay_start,3.993610224,1.93,
C08,2010_BA8,CTAB,Ground_bark,paper_birch,birch_8,2010,0,decay_start,1.304635762,1.82,
C09,2010_BA9,CTAB,Ground_bark,paper_birch,birch_9,2010,0,decay_start,3.851132686,1.53,
C10,2010_BA10,CTAB,Ground_bark,paper_birch,birch_10,2010,0,decay_start,1.291803279,1.66,
C11,2011_BA1,CTAB,Ground_bark,paper_birch,birch_1,2011,1,early,6.699669967,1.63,
C12,2011_BA2,CTAB,Ground_bark,paper_birch,birch_2,2011,1,early,3.6,1.49,
C13,2011_BA3,CTAB,Ground_bark,paper_birch,birch_3,2011,1,early,8.548387097,1.87,
C14,2011_BA4,CTAB,Ground_bark,paper_birch,birch_4,2011,1,early,7.091503268,1.54,
C15,2011_BA5,CTAB,Ground_bark,paper_birch,birch_5,2011,1,early,8.284789644,1.68,
C16,2011_BA6,CTAB,Ground_bark,paper_birch,birch_6,2011,1,early,5.113268608,1.59,
C17,2011_BA7,CTAB,Ground_bark,paper_birch,birch_7,2011,1,early,8.993288591,1.73,
C18,2011_BA8,CTAB,Ground_bark,paper_birch,birch_8,2011,1,early,5.064516129,1.57,
C19,2011_BA9,CTAB,Ground_bark,paper_birch,birch_9,2011,1,early,3.211726384,1.5,
C20,2011_BA10,CTAB,Ground_bark,paper_birch,birch_10,2011,1,early,3.47266881,1.41,
C21,2017_BA1,CTAB,Ground_bark,paper_birch,birch_1,2017,7,late,7.286432161,1.54,
C22,2017_BA2,CTAB,Ground_bark,paper_birch,birch_2,2017,7,late,7.969924812,1.44,
C23,2017_BA3,CTAB,Ground_bark,paper_birch,birch_3,2017,7,late,8.42364532,1.53,
C24,2017_BA4,CTAB,Ground_bark,paper_birch,birch_4,2017,7,late,6.891566265,1.44,
C25,2017_BA5,CTAB,Ground_bark,paper_birch,birch_5,2017,7,late,16.34615385,1.67,
C26,2017_BA6,CTAB,Ground_bark,paper_birch,birch_6,2017,7,late,6.71641791,1.48,
C27,2017_BA7,CTAB,Ground_bark,paper_birch,birch_7,2017,7,late,6.713615023,1.53,
C28,2017_BA8,CTAB,Ground_bark,paper_birch,birch_8,2017,7,late,11.01176471,1.59,
C29,2017_BA9,CTAB,Ground_bark,paper_birch,birch_9,2017,7,late,1.630841121,1.55,
C30,2017_BA10,CTAB,Ground_bark,paper_birch,birch_10,2017,7,late,2.229426434,1.33,
C31,2010_PA1,CTAB,Ground_bark,red_pine,pine_1,2010,0,decay_start,2.365677626,NA,
C32,2010_PA2,CTAB,Ground_bark,red_pine,pine_2,2010,0,decay_start,3.608044164,NA,
C33,2010_PA3,CTAB,Ground_bark,red_pine,pine_3,2010,0,decay_start,6.35725429,NA,
C34,2010_PA4,CTAB,Ground_bark,red_pine,pine_4,2010,0,decay_start,4.012588513,NA,
C35,2010_PA5,CTAB,Ground_bark,red_pine,pine_5,2010,0,decay_start,2.461033634,NA,
C36,2010_PA6,CTAB,Ground_bark,red_pine,pine_6,2010,0,decay_start,1.957060281,NA,
C37,2010_PA7,CTAB,Ground_bark,red_pine,pine_7,2010,0,decay_start,2.796803653,NA,
C38,2010_PA8,CTAB,Ground_bark,red_pine,pine_8,2010,0,decay_start,1.061912226,NA,
C39,2010_PA9,CTAB,Ground_bark,red_pine,pine_9,2010,0,decay_start,5.576776165,NA,
C40,2010_PA10,CTAB,Ground_bark,red_pine,pine_10,2010,0,decay_start,0.625479662,NA,
C41,2011_PA1,CTAB,Ground_bark,red_pine,pine_1,2011,1,early,3.441840278,1.42,
C42,2011_PA2,CTAB,Ground_bark,red_pine,pine_2,2011,1,early,6.669207317,1.96,
C43,2011_PA3,CTAB,Ground_bark,red_pine,pine_3,2011,1,early,3.88671875,1.87,
C44,2011_PA4,CTAB,Ground_bark,red_pine,pine_4,2011,1,early,7.478465153,1.99,
C45,2011_PA5,CTAB,Ground_bark,red_pine,pine_5,2011,1,early,5.95599393,1.96,
C46,2011_PA6,CTAB,Ground_bark,red_pine,pine_6,2011,1,early,4.245283019,1.66,
C47,2011_PA7,CTAB,Ground_bark,red_pine,pine_7,2011,1,early,3.064903846,1.64,
C48,2011_PA8,CTAB,Ground_bark,red_pine,pine_8,2011,1,early,8.180428135,2.02,
C49,2011_PA9,CTAB,Ground_bark,red_pine,pine_9,2011,1,early,8.123476848,1.94,
C50,2011_PA10,CTAB,Ground_bark,red_pine,pine_10,2011,1,early,4.968454259,1.93,
C51,2017_PA1,CTAB,Ground_bark,red_pine,pine_1,2017,7,late,1.763779528,NA,
C52,2017_PA2,CTAB,Ground_bark,red_pine,pine_2,2017,7,late,1.964980545,NA,
C53,2017_PA3,CTAB,Ground_bark,red_pine,pine_3,2017,7,late,5.512721665,NA,
C54,2017_PA4,CTAB,Ground_bark,red_pine,pine_4,2017,7,late,4.99207607,NA,
C55,2017_PA5,CTAB,Ground_bark,red_pine,pine_5,2017,7,late,4.072580645,NA,
C56,2017_PA6,CTAB,Ground_bark,red_pine,pine_6,2017,7,late,5.207485761,NA,
C57,2017_PA7,CTAB,Ground_bark,red_pine,pine_7,2017,7,late,5.611847233,NA,
C58,2017_PA8,CTAB,Ground_bark,red_pine,pine_8,2017,7,late,2.155172414,NA,
C59,2017_PA9,CTAB,Ground_bark,red_pine,pine_9,2017,7,late,1.133333333,NA,
C60,2017_PA10,CTAB,Ground_bark,red_pine,pine_10,2017,7,late,2.583465819,NA,
Q01,2010_BA1,QIAGEN,Ground_bark,paper_birch,birch_1,2010,0,decay_start,1.649659864,1.7,
Q02,2010_BA2,QIAGEN,Ground_bark,paper_birch,birch_2,2010,0,decay_start,2.101010101,1.99,
Q03,2010_BA3,QIAGEN,Ground_bark,paper_birch,birch_3,2010,0,decay_start,2.850993377,1.85,
Q04,2010_BA4,QIAGEN,Ground_bark,paper_birch,birch_4,2010,0,decay_start,2.533557047,1.72,
Q05,2010_BA5,QIAGEN,Ground_bark,paper_birch,birch_5,2010,0,decay_start,2.349834983,1.8,
Q06,2010_BA6,QIAGEN,Ground_bark,paper_birch,birch_6,2010,0,decay_start,2.565789474,1.76,
Q07,2010_BA7,QIAGEN,Ground_bark,paper_birch,birch_7,2010,0,decay_start,2.554098361,1.67,
Q08,2010_BA8,QIAGEN,Ground_bark,paper_birch,birch_8,2010,0,decay_start,1.493506494,1.74,
Q09,2010_BA9,QIAGEN,Ground_bark,paper_birch,birch_9,2010,0,decay_start,2.407407407,1.58,
Q10,2010_BA10,QIAGEN,Ground_bark,paper_birch,birch_10,2010,0,decay_start,1.08852459,1.62,
Q11,2011_BA1,QIAGEN,Ground_bark,paper_birch,birch_1,2011,1,early,2.588039867,1.58,
Q12,2011_BA2,QIAGEN,Ground_bark,paper_birch,birch_2,2011,1,early,1.275409836,1.57,
Q13,2011_BA3,QIAGEN,Ground_bark,paper_birch,birch_3,2011,1,early,3.121311475,1.59,
Q14,2011_BA4,QIAGEN,Ground_bark,paper_birch,birch_4,2011,1,early,2.198717949,1.5,
Q15,2011_BA5,QIAGEN,Ground_bark,paper_birch,birch_5,2011,1,early,4.234527687,1.97,
Q16,2011_BA6,QIAGEN,Ground_bark,paper_birch,birch_6,2011,1,early,1.98349835,1.44,
Q17,2011_BA7,QIAGEN,Ground_bark,paper_birch,birch_7,2011,1,early,3.517915309,1.46,
Q18,2011_BA8,QIAGEN,Ground_bark,paper_birch,birch_8,2011,1,early,2.344262295,1.89,
Q19,2011_BA9,QIAGEN,Ground_bark,paper_birch,birch_9,2011,1,early,1.204545455,1.46,
Q20,2011_BA10,QIAGEN,Ground_bark,paper_birch,birch_10,2011,1,early,2.045016077,1.44,
Q21,2017_BA1,QIAGEN,Ground_bark,paper_birch,birch_1,2017,7,late,7.557251908,1.58,
Q22,2017_BA2,QIAGEN,Ground_bark,paper_birch,birch_2,2017,7,late,8.125,1.7,
Q23,2017_BA3,QIAGEN,Ground_bark,paper_birch,birch_3,2017,7,late,7.529691211,1.61,
Q24,2017_BA4,QIAGEN,Ground_bark,paper_birch,birch_4,2017,7,late,12.11401425,1.79,
Q25,2017_BA5,QIAGEN,Ground_bark,paper_birch,birch_5,2017,7,late,9.681372549,1.7,
Q26,2017_BA6,QIAGEN,Ground_bark,paper_birch,birch_6,2017,7,late,8.419811321,1.67,
Q27,2017_BA7,QIAGEN,Ground_bark,paper_birch,birch_7,2017,7,late,1.94278607,1.52,
Q28,2017_BA8,QIAGEN,Ground_bark,paper_birch,birch_8,2017,7,late,9.004739336,1.69,
Q29,2017_BA9,QIAGEN,Ground_bark,paper_birch,birch_9,2017,7,late,1.441025641,1.39,
Q30,2017_BA10,QIAGEN,Ground_bark,paper_birch,birch_10,2017,7,late,5.01216545,1.32,
Q31,2010_PA1,QIAGEN,Ground_bark,red_pine,pine_1,2010,0,decay_start,0.335390947,NA,
Q32,2010_PA2,QIAGEN,Ground_bark,red_pine,pine_2,2010,0,decay_start,5.141287284,NA,
Q33,2010_PA3,QIAGEN,Ground_bark,red_pine,pine_3,2010,0,decay_start,6.156274665,NA,
Q34,2010_PA4,QIAGEN,Ground_bark,red_pine,pine_4,2010,0,decay_start,4.996034893,NA,
Q35,2010_PA5,QIAGEN,Ground_bark,red_pine,pine_5,2010,0,decay_start,5.658105939,NA,
Q36,2010_PA6,QIAGEN,Ground_bark,red_pine,pine_6,2010,0,decay_start,0.279136104,NA,
Q37,2010_PA7,QIAGEN,Ground_bark,red_pine,pine_7,2010,0,decay_start,1.125299282,NA,
Q38,2010_PA8,QIAGEN,Ground_bark,red_pine,pine_8,2010,0,decay_start,6.43442623,NA,
Q39,2010_PA9,QIAGEN,Ground_bark,red_pine,pine_9,2010,0,decay_start,9.879518072,NA,
Q40,2010_PA10,QIAGEN,Ground_bark,red_pine,pine_10,2010,0,decay_start,4.242664552,NA,
Q41,2011_PA1,QIAGEN,Ground_bark,red_pine,pine_1,2011,1,early,1.530636292,1.59,
Q42,2011_PA2,QIAGEN,Ground_bark,red_pine,pine_2,2011,1,early,2.066233239,1.76,
Q43,2011_PA3,QIAGEN,Ground_bark,red_pine,pine_3,2011,1,early,1.4253703,1.68,
Q44,2011_PA4,QIAGEN,Ground_bark,red_pine,pine_4,2011,1,early,3.981331169,1.76,
Q45,2011_PA5,QIAGEN,Ground_bark,red_pine,pine_5,2011,1,early,1.598062954,1.65,
Q46,2011_PA6,QIAGEN,Ground_bark,red_pine,pine_6,2011,1,early,1.45035461,1.85,
Q47,2011_PA7,QIAGEN,Ground_bark,red_pine,pine_7,2011,1,early,0.972405752,1.49,
Q48,2011_PA8,QIAGEN,Ground_bark,red_pine,pine_8,2011,1,early,5.138888889,1.71,
Q49,2011_PA9,QIAGEN,Ground_bark,red_pine,pine_9,2011,1,early,4.734925132,1.81,
Q50,2011_PA10,QIAGEN,Ground_bark,red_pine,pine_10,2011,1,early,1.610488391,1.61,
Q51,2017_PA1,QIAGEN,Ground_bark,red_pine,pine_1,2017,7,late,0.918614021,NA,
Q52,2017_PA2,QIAGEN,Ground_bark,red_pine,pine_2,2017,7,late,2.893700787,NA,
Q53,2017_PA3,QIAGEN,Ground_bark,red_pine,pine_3,2017,7,late,1.000788022,NA,
Q54,2017_PA4,QIAGEN,Ground_bark,red_pine,pine_4,2017,7,late,2.784455128,NA,
Q55,2017_PA5,QIAGEN,Ground_bark,red_pine,pine_5,2017,7,late,1.558752998,NA,
Q56,2017_PA6,QIAGEN,Ground_bark,red_pine,pine_6,2017,7,late,3.547990156,NA,
Q57,2017_PA7,QIAGEN,Ground_bark,red_pine,pine_7,2017,7,late,2.269230769,NA,
Q58,2017_PA8,QIAGEN,Ground_bark,red_pine,pine_8,2017,7,late,1.974693252,NA,
Q59,2017_PA9,QIAGEN,Ground_bark,red_pine,pine_9,2017,7,late,2.061438965,NA,
Q60,2017_PA10,QIAGEN,Ground_bark,red_pine,pine_10,2017,7,late,2.820306205,NA,
S01,2010_BA1,SDS,Ground_bark,paper_birch,birch_1,2010,0,decay_start,4.153354633,1.75,
S02,2010_BA2,SDS,Ground_bark,paper_birch,birch_2,2010,0,decay_start,4.900662252,1.78,
S03,2010_BA3,SDS,Ground_bark,paper_birch,birch_3,2010,0,decay_start,6.886792453,1.8,
S04,2010_BA4,SDS,Ground_bark,paper_birch,birch_4,2010,0,decay_start,6.666666667,1.77,
S05,2010_BA5,SDS,Ground_bark,paper_birch,birch_5,2010,0,decay_start,7.515923567,1.72,
S06,2010_BA6,SDS,Ground_bark,paper_birch,birch_6,2010,0,decay_start,5.258064516,1.69,
