input	filtered	denoisedF	denoisedR	merged	nonchim
C0	2125	163	162	163	157	155
C01	38164	31923	31869	31873	31729	30979
C02	31983	26655	26635	26638	26535	25709
C03	34101	29033	29007	28997	28843	27597
C04	41194	32908	32899	32905	32808	31923
C05	46680	39311	39286	39285	39092	37392
C06	38108	32577	32563	32566	32440	31240
C07	42723	36485	36474	36480	36402	35417
C08	41036	34147	34142	34133	34076	33634
C11	47067	41657	41552	41582	41170	32831
C12	34452	30699	30645	30628	30377	20115
C13	38717	34339	34148	34186	33666	22504
C14	31399	27665	27576	27578	27305	17600
C15	35882	31850	31738	31736	31151	29655
C16	39046	34926	34822	34828	34424	26594
C17	50186	44590	44332	44363	43510	33324
C18	48196	42696	42556	42543	41908	31391
C21	50258	43963	43367	43436	42439	41716
C22	39352	33390	32731	32770	31819	30979
C23	35718	30900	30496	30494	29768	26816
C24	35993	31506	30496	30584	29146	28291
C25	35260	30421	29828	29792	28871	26504
C26	37225	32157	31559	31542	30655	28004
C27	96	19	19	19	18	12
C28	40346	35152	34661	34671	33812	32302
C33	30613	24798	24716	24729	24315	23817
C34	36944	27831	27777	27778	27436	26759
C35	33733	25524	25485	25481	25183	24721
C36	40632	32727	32612	32611	32069	23822
C37	35779	30322	30095	30161	29571	19554
C38	28213	22404	22398	22397	22267	22117
C39	32054	26379	26350	26364	26081	25557
C40	28616	24015	24008	23995	23862	23790
C43	41774	36534	36260	36278	35637	31955
C44	61316	54176	53564	53686	52498	43729
C45	51899	45528	44930	45029	43737	32453
C46	51692	44539	41588	41407	37883	36245
C47	56373	48181	47802	47844	46884	35472
C48	52007	46532	46222	46206	45388	33940
C49	55842	49874	49436	49472	48048	36365
C50	52540	46218	45952	45949	45254	37013
C53	46242	40974	40492	40544	39411	33834
C54	55734	49174	48574	48600	47427	39014
C55	53324	46917	46575	46565	45828	32266
C56	53330	47267	46872	46905	45835	39490
C57	58881	52365	51906	51919	50635	46318
C58	43548	38946	38660	38618	37797	33751
C59	60284	53784	53391	53382	52039	44825
C60	50386	45432	45153	45080	44001	41421
Q0	674	32	29	29	27	21
Q01	45495	36414	36354	36342	36094	33235
Q02	58704	46613	46514	46526	46113	42267
Q03	51806	42083	41999	42006	41689	38391
Q04	52481	41806	41763	41769	41570	39137
Q05	69126	55677	55610	55618	55341	52299
Q06	43910	36405	36336	36351	36050	33094
Q07	44344	34774	34675	34693	34405	31297
Q08	50710	39172	39036	39060	38746	36051
Q11	61752	52886	52218	52318	50110	31732
Q12	60038	49435	48856	48873	45391	24739
Q13	53578	46635	45842	45977	44312	23410
Q14	42995	36542	36032	36071	34697	17394
Q15	47369	40535	39838	39842	37216	23606
Q16	47772	40225	39492	39540	36173	24563
Q17	63763	54684	53639	53726	50662	31361
Q18	65186	55765	54762	54879	51824	35119
Q21	48480	43308	42453	42337	40653	40098
Q22	65820	58397	56482	56383	54286	53014
Q23	70330	62401	60972	60914	58490	51966
Q24	50068	44031	41835	41843	39127	38003
Q25	54056	47972	46706	46599	44835	40828
Q26	33477	29365	28540	28490	27312	24835
Q27	75873	66094	64816	64776	63038	48722
Q28	64221	57029	55585	55520	53395	46730
Q33	52488	41948	41572	41586	40414	37274
Q34	61152	48534	48194	48216	47078	43228
Q35	51585	41662	41364	41406	40415	37246
Q36	60928	49204	48915	48914	48118	31371
Q37	69358	59229	58561	58662	57423	32885
Q38	61046	49523	49263	49249	48257	44086
Q39	61231	49747	49414	49402	48134	43443
Q40	59810	46920	46566	46581	45390	41318
Q43	61506	52032	51268	51344	50144	43046
Q44	56262	49101	48324	48464	47127	36642
Q45	53776	45658	45016	45059	43888	31758
Q46	52716	43191	42524	42471	41052	31938
Q47	60806	50311	49564	49630	47902	34653
Q48	60032	52923	52157	52232	50757	35157
Q49	50394	43993	43348	43402	42138	31623
Q50	61539	52219	51438	51482	50163	36578
Q53	24522	19812	19435	19453	18550	15182
Q54	55943	48716	47548	47574	45853	37482
Q55	62667	53955	53071	53093	51741	38386
Q56	54026	46619	45527	45676	43842	34309
Q57	65407	57542	56429	56402	53831	40877
Q58	38292	32749	32034	32029	30833	22942
Q59	61764	52400	51351	51378	49328	37076
Q60	46410	40120	39400	39354	36283	29652
