input	filtered	denoisedF	denoisedR	merged	nonchim
C0	167	9	4	4	2	2
C01	77907	44027	44015	44008	5208	5170
C02	60300	34340	34321	34308	3978	3950
C03	43007	22969	22918	22938	2283	2264
C04	45111	24820	24790	24804	2390	2383
C05	59167	35242	35219	35223	5706	5621
C06	47257	26465	26439	26448	3800	3789
C07	58529	34107	34084	34086	4781	4771
C08	62998	35380	35372	35369	5243	5227
C11	42783	30004	29866	29930	27642	26170
C12	48570	31443	31350	31352	28918	28208
C13	44588	30698	30582	30516	24958	22296
C14	38618	25817	25717	25751	21218	20075
C15	49688	34504	34465	34457	32837	32624
C16	40189	28105	27981	27996	23305	21388
C17	51836	36550	36398	36438	29240	27730
C18	50124	35389	35227	35291	29209	27362
C21	50155	32116	31974	31940	28223	27405
C22	53601	38415	38218	38225	35789	34332
C23	50424	35039	34895	34899	31911	29470
C24	51269	33060	32924	32827	29964	29066
C25	74423	52479	52332	52340	42409	40789
C26	54248	36142	35995	36025	33409	32557
C27	84	18	12	12	10	10
C28	51447	34945	34735	34828	32413	31595
C33	52380	34649	34442	34463	26885	26672
C34	54444	34923	34729	34726	25709	25311
C35	47722	30519	30329	30242	24154	23936
C36	54913	27347	27238	27255	21931	21305
C37	56811	35856	35683	35767	29273	27331
C38	49437	32503	32324	32375	22023	21786
C39	71892	45008	44662	44677	36295	35788
C40	22815	14266	14177	14092	11734	11608
C43	54177	38075	37966	37968	30365	29083
C44	49614	33596	33416	33520	29555	28381
C45	40675	29493	29185	29291	26056	24925
C46	39284	26860	26691	26712	21844	21173
C47	47492	31923	31728	31822	25971	24035
C48	32480	21076	20993	21000	18925	17299
C49	58046	38997	38804	38906	34823	30575
C50	83529	54356	54167	54213	46400	43905
C53	43967	28163	28011	28016	26333	25074
C54	54172	35581	35360	35437	28826	27474
C55	52085	35693	35562	35523	27784	26856
C56	59834	35221	35097	35129	28556	27232
C57	51280	37117	37011	36945	23851	22795
C58	50778	33409	33255	33356	26791	26574
C59	74904	48765	48551	48608	40793	40256
C60	56071	38975	38899	38889	20616	20366
Q0	138	15	14	14	3	3
Q01	51738	28224	28181	28185	3573	3550
Q02	73104	42865	42770	42757	7994	7910
Q03	60716	34170	34062	34102	4698	4610
Q04	63748	35656	35578	35613	4932	4882
Q05	58175	35155	35120	35124	7103	7080
Q06	55102	31670	31635	31619	6168	6104
Q07	69074	40386	40321	40341	7872	7754
Q08	48556	33166	33067	33118	23268	20451
Q11	47146	32094	31886	31995	29581	27321
Q12	39184	25042	24913	24941	22158	20831
Q13	35668	25447	25352	25352	21058	18081
Q14	36009	23599	23488	23534	20104	18463
Q15	30410	21373	21133	21296	18216	15915
Q16	31445	17252	17158	17196	14244	12687
Q17	39244	26168	25987	26047	21468	19313
Q18	38083	11020	10967	10992	9431	8743
Q21	56563	36115	35919	35865	31468	30717
Q22	63337	45491	45139	45010	40739	38660
Q23	45665	31514	31300	31336	28196	24186
Q24	41780	28024	27691	27460	24200	22648
Q25	56973	40868	40620	40650	32294	29365
Q26	51439	34088	33809	33798	30682	28781
Q27	69679	47830	47527	47632	40357	37780
Q28	58237	39014	38721	38836	34980	32216
Q33	45200	28672	28459	28436	23428	23178
Q34	40437	24995	24793	24717	17392	17162
Q35	45744	28520	28328	28289	22740	22430
Q36	50218	24854	24697	24736	19322	18563
Q37	59768	36677	36474	36556	30275	27651
Q38	34976	20900	20778	20775	15921	15674
Q39	53139	34174	33945	33950	25700	25316
Q40	37654	21612	21447	21398	16753	16565
Q43	58173	42041	41868	41883	32675	30933
Q44	56559	38275	37977	38117	33065	31374
Q45	48088	32444	32278	32322	28033	25816
Q46	40769	27001	26848	26852	21031	19760
Q47	91235	61768	61387	61505	49886	45614
Q48	50473	31550	31369	31403	26372	23607
Q49	69496	46418	46083	46209	39317	33908
Q50	58458	38342	38174	38232	32335	29994
Q53	33910	21854	21638	21687	19732	18595
Q54	47270	31553	31318	31340	24760	23221
Q55	44801	31043	30800	30752	23558	22761
Q56	96053	60068	59721	59787	49365	45244
Q57	50724	34805	34594	34608	22891	21132
Q58	41007	27009	26815	26835	22575	21900
Q59	48184	29827	29607	29627	25302	24564
Q60	39734	29929	29765	29766	16968	15410
