SampleID	Sample_name	Protocol	Site	Tree_host	Tree_log	Year	Year_since_decay_start	When	DNA_yields	Sample_or_Control
C0	control C	CTAB	NA	NA	NA	NA	NA	NA	0.01	Control
C01	2010_BA1	CTAB	Ground_bark	paper_birch	birch_01	2010	0	decay_start	2.146875	Sample
C02	2010_BA2	CTAB	Ground_bark	paper_birch	birch_02	2010	0	decay_start	3.72611465	Sample
C03	2010_BA3	CTAB	Ground_bark	paper_birch	birch_03	2010	0	decay_start	6.867088608	Sample
C04	2010_BA4	CTAB	Ground_bark	paper_birch	birch_04	2010	0	decay_start	2.472312704	Sample
C05	2010_BA5	CTAB	Ground_bark	paper_birch	birch_05	2010	0	decay_start	4.920634921	Sample
C06	2010_BA6	CTAB	Ground_bark	paper_birch	birch_06	2010	0	decay_start	2.740983607	Sample
C07	2010_BA7	CTAB	Ground_bark	paper_birch	birch_07	2010	0	decay_start	3.993610224	Sample
C08	2010_BA8	CTAB	Ground_bark	paper_birch	birch_08	2010	0	decay_start	1.304635762	Sample
C11	2011_BA1	CTAB	Ground_bark	paper_birch	birch_01	2011	1	early	6.699669967	Sample
C12	2011_BA2	CTAB	Ground_bark	paper_birch	birch_02	2011	1	early	3.6	Sample
C13	2011_BA3	CTAB	Ground_bark	paper_birch	birch_03	2011	1	early	8.548387097	Sample
C14	2011_BA4	CTAB	Ground_bark	paper_birch	birch_04	2011	1	early	7.091503268	Sample
C15	2011_BA5	CTAB	Ground_bark	paper_birch	birch_05	2011	1	early	8.284789644	Sample
C16	2011_BA6	CTAB	Ground_bark	paper_birch	birch_06	2011	1	early	5.113268608	Sample
C17	2011_BA7	CTAB	Ground_bark	paper_birch	birch_07	2011	1	early	8.993288591	Sample
C18	2011_BA8	CTAB	Ground_bark	paper_birch	birch_08	2011	1	early	5.064516129	Sample
C21	2017_BA1	CTAB	Ground_bark	paper_birch	birch_01	2017	7	late	7.286432161	Sample
C22	2017_BA2	CTAB	Ground_bark	paper_birch	birch_02	2017	7	late	7.969924812	Sample
C23	2017_BA3	CTAB	Ground_bark	paper_birch	birch_03	2017	7	late	8.42364532	Sample
C24	2017_BA4	CTAB	Ground_bark	paper_birch	birch_04	2017	7	late	6.891566265	Sample
C25	2017_BA5	CTAB	Ground_bark	paper_birch	birch_05	2017	7	late	16.34615385	Sample
C26	2017_BA6	CTAB	Ground_bark	paper_birch	birch_06	2017	7	late	6.71641791	Sample
C27	2017_BA7	CTAB	Ground_bark	paper_birch	birch_07	2017	7	late	6.713615023	Sample
C28	2017_BA8	CTAB	Ground_bark	paper_birch	birch_08	2017	7	late	11.01176471	Sample
C33	2010_PA3	CTAB	Ground_bark	red_pine	pine_03	2010	0	decay_start	6.35725429	Sample
C34	2010_PA4	CTAB	Ground_bark	red_pine	pine_04	2010	0	decay_start	4.012588513	Sample
C35	2010_PA5	CTAB	Ground_bark	red_pine	pine_05	2010	0	decay_start	2.461033634	Sample
C36	2010_PA6	CTAB	Ground_bark	red_pine	pine_06	2010	0	decay_start	1.957060281	Sample
C37	2010_PA7	CTAB	Ground_bark	red_pine	pine_07	2010	0	decay_start	2.796803653	Sample
C38	2010_PA8	CTAB	Ground_bark	red_pine	pine_08	2010	0	decay_start	1.061912226	Sample
C39	2010_PA9	CTAB	Ground_bark	red_pine	pine_09	2010	0	decay_start	5.576776165	Sample
C40	2010_PA10	CTAB	Ground_bark	red_pine	pine_10	2010	0	decay_start	0.625479662	Sample
C43	2011_PA3	CTAB	Ground_bark	red_pine	pine_03	2011	1	early	3.88671875	Sample
C44	2011_PA4	CTAB	Ground_bark	red_pine	pine_04	2011	1	early	7.478465153	Sample
C45	2011_PA5	CTAB	Ground_bark	red_pine	pine_05	2011	1	early	5.95599393	Sample
C46	2011_PA6	CTAB	Ground_bark	red_pine	pine_06	2011	1	early	4.245283019	Sample
C47	2011_PA7	CTAB	Ground_bark	red_pine	pine_07	2011	1	early	3.064903846	Sample
C48	2011_PA8	CTAB	Ground_bark	red_pine	pine_08	2011	1	early	8.180428135	Sample
C49	2011_PA9	CTAB	Ground_bark	red_pine	pine_09	2011	1	early	8.123476848	Sample
C50	2011_PA10	CTAB	Ground_bark	red_pine	pine_10	2011	1	early	4.968454259	Sample
C53	2017_PA3	CTAB	Ground_bark	red_pine	pine_03	2017	7	late	5.512721665	Sample
C54	2017_PA4	CTAB	Ground_bark	red_pine	pine_04	2017	7	late	4.99207607	Sample
C55	2017_PA5	CTAB	Ground_bark	red_pine	pine_05	2017	7	late	4.072580645	Sample
C56	2017_PA6	CTAB	Ground_bark	red_pine	pine_06	2017	7	late	5.207485761	Sample
C57	2017_PA7	CTAB	Ground_bark	red_pine	pine_07	2017	7	late	5.611847233	Sample
C58	2017_PA8	CTAB	Ground_bark	red_pine	pine_08	2017	7	late	2.155172414	Sample
